ID	Cluster
2019-16747	1190
2019-16748	646
2019-16749	490
2019-16750	1448
2019-16751	1191
2019-16752	1193
2019-16753	534
2019-16754	1194
2019-16755	1191
2019-17102	520
2019-17103	504
2019-17104	553
2019-17105	512
2019-17106	518
2019-17107	513
2019-17108	1062
2019-17109	1063
2019-17110	1089
2019-17111	1067
2019-17112	812
2019-17114	812
2019-17115	812
2019-17116	1050
2019-17117	812
2019-17118	812
2019-17119	1026
2019-17120	1043
2019-17121	1031
2019-17122	1029
2019-17123	1030
2019-17125	1032
2019-17126	1040
2019-17127	1046
2019-17128	1094
2019-17129	1094
2019-17130	1087
2019-17131	1087
2019-17132	1086
2019-17133	1086
2019-17134	1105
2019-17135	1090
2019-17136	1435
2019-17137	505
2019-17138	507
2019-17139	528
2019-17140	508
2019-17141	416
2019-17142	503
2019-17143	525
2019-17144	515
2019-17145	1159
2019-17146	515
2019-17147	1049
2019-17148	1027
2019-17149	1033
2019-17150	1037
2019-17151	443
2019-17152	584
2019-17153	584
2019-17154	584
2019-17155	584
2019-17156	414
2019-17157	655
2019-17158	655
2019-17159	547
2019-17160	547
2019-17161	1068
2019-17162	1107
2019-17163	1068
2019-17164	1104
2019-17165	1065
2019-17166	1065
2019-17167	1096
2019-17535	367
2019-17536	535
2019-17537	1342
2019-17538	252
2019-17539	1455
2019-17540	837
2019-18481	12
2019-18482	190
2019-18483	114
2019-18484	1540
2019-18485	859
2019-18486	937
2019-18487	615
2019-19442	374
2019-19443	1200
2019-19444	1197
2019-19445	323
2019-19446	194
2019-19447	211
2019-19448	599
2019-19449	805
2019-19450	879
2019-19451	1310
2019-20884	969
2019-20885	557
2019-20886	706
2019-20887	444
2019-20888	1545
2019-20889	1323
2019-20890	233
2019-20891	371
2019-20892	369
2019-20893	1414
2019-20894	340
2019-21483	330
2019-21484	368
2019-21485	1091
2019-21487	1241
2019-21488	252
2019-21489	4
2019-21490	1489
2019-21491	47
2019-21492	1253
2019-21603	672
2019-21604	1112
2019-21605	1346
2019-21608	297
2019-21609	1
2019-21610	3
2019-21611	1504
2019-22526	1236
2019-22527	1194
2019-22528	570
2019-22529	252
2019-22530	170
2019-22531	465
2019-22532	1383
2019-22533	37
2019-22534	406
2019-22535	1237
2019-22536	1058
2019-23819	363
2019-23820	832
2019-23821	223
2019-23822	436
2019-23823	495
2019-23824	189
2019-24637	2
2019-24638	27
2019-24639	334
2019-24640	794
2019-24641	496
2019-24642	1012
2019-24643	1191
2019-24644	1058
2019-24645	647
2019-24646	595
2019-25135	854
2019-25136	1149
2019-25137	877
2019-25138	861
2019-25139	1286
2019-25140	965
2019-25141	1480
2019-25143	470
2019-26223	1365
2019-26224	225
2019-26225	475
2019-26226	1418
2019-26227	947
2019-26228	1295
2019-26229	647
2019-26230	1025
2019-26231	1076
2019-26392	764
2019-26393	1111
2019-26397	312
2019-26398	90
2019-26399	1318
2019-26401	370
2019-27549	314
2019-27551	158
2019-27552	1315
2019-27553	133
2019-27554	285
2019-27555	813
2019-27556	1443
2019-27557	593
2019-27558	1538
2020-00754	1553
2020-00755	156
2020-00756	1576
2020-00757	171
2020-00758	1318
2020-00759	1098
2020-00760	628
2020-00761	404
2020-00762	422
2020-00763	1269
2020-00764	1451
2020-01175	277
2020-01176	254
2020-01177	147
2020-01178	1260
2020-01179	1054
2020-01180	413
2020-01181	557
2020-01182	749
2020-01184	1266
2020-01185	100
2020-01597	300
2020-01598	1387
2020-01599	252
2020-01600	1015
2020-01601	1304
2020-01602	136
2020-01604	338
2020-01605	1271
2020-01606	1441
2020-01607	1239
2020-02454	1108
2020-02455	774
2020-02456	153
2020-02457	307
2020-02458	157
2020-02459	348
2020-02460	232
2020-02461	1215
2020-02462	647
2020-02463	1179
2020-02464	1496
2020-03257	689
2020-03258	216
2020-03259	118
2020-03260	899
2020-03261	145
2020-03262	797
2020-03263	1344
2020-03264	608
2020-03265	702
2020-03266	428
2020-03267	135
2020-03268	384
2020-03269	1264
2020-03270	526
2020-03271	57
2020-03272	248
2020-03273	249
2020-03274	3
2020-03275	2
2020-03276	2
2020-03277	2
2020-03278	3
2020-04058	1102
2020-04059	647
2020-04060	3
2020-04061	869
2020-04062	758
2020-04063	216
2020-04065	1460
2020-04066	1343
2020-04068	20
2020-06213	402
2020-06214	413
2020-06215	567
2020-06216	1468
2020-06217	80
2020-06218	623
2020-06219	45
2020-06220	955
2020-06221	466
2020-06222	69
2020-06223	483
2020-06224	1205
2020-06225	1121
2020-06226	1272
2020-06227	1349
2020-06230	418
2020-06231	1318
2020-06232	1192
2020-06233	503
2020-06234	1152
2020-06235	604
2020-06236	211
2020-06237	827
2020-06238	328
2020-06239	425
2020-06240	272
2020-06241	1178
2020-06242	1228
2020-06243	553
2020-06244	1141
2020-06245	1168
2020-08312	148
2020-08313	620
2020-08314	1041
2020-08315	95
2020-08316	1573
2020-08317	1228
2020-08318	1152
2020-08319	167
2020-08320	1007
2020-08321	641
2020-102630	345
2020-102631	181
2020-102632	368
2020-102633	596
2020-102634	659
2020-102635	1461
2020-102636	1461
2020-102637	1143
2020-102638	1226
2020-102639	413
2020-10439	756
2020-10440	265
2020-10441	1507
