ISOLATE,collection_date,ST,cgT
2016-16192,2016-07-25,11,2219
2016-16258,2016-07-25,,-
2016-16244,,,-
2016-16284,2016-07-26,,-
2016-16842,2016-08-04,,-
2016-16833,2016-08-04,,-
2016-16832,2016-08-04,,-
2016-16955,2016-08-01,,-
2016-16954,2016-08-06,,-
2016-16901,2016-08-03,,-
2016-17188,2016-08-08,,-
2016-17294,2016-08-10,,-
2016-17226,2016-08-09,,-
2016-17780,2016-08-19,,-
2016-17730,2016-08-16,,-
2016-18031,2016-08-22,,-
2016-18009,2016-08-23,,-
2016-18006,2016-08-19,,-
2016-18130,2016-08-25,,-
2016-18203,2016-08-26,,-
2016-18264,2016-08-25,,-
2016-18529,2016-08-30,,-
2016-18839,2016-09-05,,-
2016-18974,2016-09-07,,-
2016-18973,2016-09-06,,-
2016-18993,2016-09-07,,-
2016-19135,2016-09-10,,-
2016-19175,2016-09-12,,-
2016-19348,2016-09-11,,-
2016-19414,2016-09-13,,-
2016-19413,,,-
2016-19402,2016-09-13,,-
2016-19394,2016-09-13,,-
2016-19508,2016-09-16,,-
2016-19493,2016-09-15,,-
2016-19778,2016-09-22,,-
2016-20068,2016-09-29,,-
2016-20048,2016-09-28,,-
2016-20015,2016-09-27,,-
2016-20083,2016-09-28,,-
2016-20161,2016-10-01,,-
2016-20203,2016-10-01,,-
2016-20421,2016-10-04,,-
2016-20355,2016-10-06,,-
2016-20470,2016-10-05,,-
2016-20469,2016-10-06,,-
2016-20468,2016-10-04,,-
2016-20513,2016-10-06,,-
2016-20577,2016-10-06,,-
2016-20663,2016-10-09,,-
2016-20714,2016-10-07,,-
2016-20831,2016-10-11,,-
2016-20805,2016-10-10,,-
2016-20921,2016-10-13,,-
2016-20905,2016-10-11,,-
2016-20897,2016-10-12,,-
2016-21001,2016-10-12,,-
2016-20995,2016-10-12,,-
2016-21107,2016-10-15,,-
2016-21112,2016-10-18,,-
2016-21203,2016-10-18,,-
2016-21321,2016-10-18,,-
2016-21291,2016-10-17,,-
2016-21395,2016-10-18,,-
2016-21354,2016-10-19,,-
2016-21504,2016-10-18,,-
2016-21482,2016-10-21,,-
2016-21462,2016-10-20,,-
2016-21595,2016-10-22,,-
2016-21614,2016-10-24,,-
2016-21704,2016-10-25,,-
2016-21670,2016-10-24,,-
2016-21795,2016-10-24,,-
2016-21768,2016-10-27,,-
2016-21967,2016-10-31,,-
2016-21998,2016-11-01,,-
2016-22259,2016-11-04,,-
2016-22556,2016-11-08,,-
2016-22642,2016-11-08,,-
2016-22620,2016-11-11,,-
2016-22611,2016-11-07,,-
2016-23005,2016-11-17,,-
2016-22970,2016-11-14,,-
2016-22966,2016-11-15,,-
2016-23253,2016-11-21,,-
2016-23346,2016-11-23,,-
2016-23329,2016-11-21,,-
2016-23387,2016-11-23,,-
2016-23444,2016-11-23,,-
2016-23572,2016-11-26,,-
2016-23528,2016-11-24,,-
2016-23636,2016-11-28,,-
2016-23733,2016-11-29,,-
2016-23769,2016-11-30,,-
2016-23898,2016-12-02,,-
2016-23897,2016-12-04,,-
2016-23960,2016-12-01,,-
2016-23954,2016-11-30,,-
2016-24064,2016-11-28,,-
2016-24061,2016-12-01,,-
2016-24237,2016-12-07,,-
2016-24235,2016-12-06,,-
2016-24156,2016-12-06,,-
2016-24440,2016-12-09,,-
2016-24584,2016-12-12,,-
2016-24771,2016-12-17,,-
2016-24764,2016-12-15,,-
2016-24862,2016-12-03,,-
2016-25193,2016-12-20,11,33
2016-25153,2016-12-21,,-
2016-25143,2016-12-23,11,2219
2016-25111,2016-12-20,,-
2016-25145,2016-12-19,11,33
2016-25368,2016-12-28,1925,159
2017-00028,2016-12-29,11,33
2017-00123,2016-12-28,11,33
2017-00121,2016-12-27,11,136
2017-00117,2016-12-31,11,33
2017-00483,2017-01-04,11,33
2017-00533,2017-01-07,11,365
2017-00531,2017-01-07,11,365
2017-00962,2017-01-11,11,2189
2017-00960,2017-01-11,11,33
2017-00867,2017-01-11,11,33
2017-00866,2017-01-11,11,2189
2017-01187,,11,33
2017-01182,2017-01-15,11,2165
2017-01147,2017-01-14,11,2165
2017-01136,2017-01-15,11,33
2017-01533,2017-01-18,11,33
2017-01538,2017-01-17,11,2250
2017-01680,2017-01-19,11,33
2017-01678,2017-01-19,11,2165
2017-01861,2017-01-25,365,810
2017-02023,2017-01-27,11,2189
2017-02212,2017-01-29,11,367
2017-02448,2017-02-02,11,33
2017-02501,2017-02-01,11,33
2017-02503,2017-01-31,11,295
2017-02555,2017-02-01,11,365
2017-02554,2017-01-31,11,33
2017-02744,2017-02-03,11,33
2017-03054,2017-02-06,11,135
2017-03033,2017-02-06,11,135
2017-03361,,11,2189
2017-03326,2017-02-09,1925,159
2017-03638,2017-02-15,11,796
2017-03585,2017-02-14,1925,159
2017-03584,2017-02-14,11,UC
2017-04167,2017-02-23,11,33
2017-04482,2017-02-25,1925,159
2017-04514,2017-02-27,,2165
2017-04610,2017-03-03,11,2165
2017-04751,2017-03-03,1925,159
2017-05020,,,2189
2017-05092,2017-03-08,11,282
2017-05274,2017-03-10,11,2189
2017-05717,2017-03-17,11,493
2017-05919,2017-03-20,11,33
2017-06228,2017-03-22,11,2189
2017-06235,2017-03-22,11,189
2017-06242,2017-03-22,11,2203
2017-06418,2017-03-27,11,365
2017-06691,2017-03-31,11,135
2017-06676,2017-03-28,11,607
2017-06608,2017-03-28,11,2203
2017-06605,2017-03-27,11,607
2017-06792,2017-03-30,11,365
2017-06979,2017-04-02,11,607
2017-07203,2017-04-04,11,136
2017-07578,2017-04-11,1925,159
2017-07576,2017-04-10,11,2250
2017-07623,2017-04-13,11,365
2017-07671,2017-04-12,11,33
2017-07795,2017-04-15,11,1671
2017-07793,2017-04-14,11,287
2017-07792,2017-04-14,1925,159
2017-08026,2017-04-19,11,2165
2017-08112,2017-04-19,1925,159
2017-08162,2017-04-22,11,136
2017-08518,2017-04-18,11,287
2017-08498,2017-04-24,11,365
2017-08497,2017-04-21,11,287
2017-08490,2017-04-21,11,637
2017-08587,2017-04-25,11,782
2017-08707,2017-04-29,1925,159
2017-08685,2017-04-26,3304,260
2017-08729,2017-04-29,11,623
2017-09049,2017-04-29,11,637
2017-09154,2019-09-27,11,783
2017-09249,2017-05-04,11,365
2017-09669,2017-05-11,11,2189
2017-09848,2017-05-11,11,637
2017-10010,2017-05-15,11,2189
2017-10063,2017-05-13,11,33
2017-10221,2017-05-19,11,2165
2017-10378,2017-05-21,11,58
2017-10586,2017-05-23,11,33
2017-10663,2017-05-27,11,2189
2017-10980,2017-05-28,11,33
2017-11397,2017-06-03,11,33
2017-11365,2017-06-02,11,2090
2017-11356,2017-06-02,11,2090
2017-11354,2017-06-01,11,2090
2017-11413,2017-06-01,11,148
2017-11535,2017-06-06,11,136
2017-11498,2017-06-03,11,2220
2017-11594,2017-06-05,11,1671
2017-11542,2017-06-05,,-
2017-11684,2017-06-06,11,284
2017-11949,2017-06-09,11,2219
2017-12169,2017-06-13,11,2219
2017-12153,2017-06-15,11,2219
2017-12119,2017-06-13,11,2165
2017-12118,2017-06-13,3600,341
2017-12117,2017-06-13,11,2189
2017-12458,2017-06-19,11,33
2017-12630,2017-06-23,11,33
2017-12599,2017-06-22,11,2220
2017-12598,2017-06-22,11,33
2017-12899,2017-06-26,11,365
2017-12970,2017-06-29,11,33
2017-12968,2017-06-28,11,2250
2017-12943,2017-06-29,11,33
2017-13130,2017-06-30,1925,159
2017-13196,2017-07-03,11,2220
2017-13319,2017-07-03,11,365
2017-13351,2017-06-30,11,2189
2017-13584,2017-07-04,11,136
2017-13793,2017-07-11,1925,159
2017-13850,2017-07-11,11,33
2017-13950,2017-07-12,11,136
2017-13946,2017-07-13,11,33
2017-13902,2017-07-10,11,365
2017-14219,2017-07-16,11,UC
2017-14395,2017-07-21,11,136
2017-14355,2017-07-19,11,2218
2017-14336,2017-07-18,11,2165
2017-14429,2017-07-20,11,365
2017-14409,2017-07-20,11,282
2017-14619,2017-07-24,11,365
2017-14735,2017-07-24,11,2218
2017-14734,2017-07-25,1925,159
2017-14733,2017-07-25,1925,159
2017-14708,2017-07-24,11,2165
2017-14707,2017-07-24,11,365
2017-14706,2017-07-24,11,365
2017-14848,2017-07-25,11,136
2017-14902,2017-07-24,11,1663
2017-14862,2017-07-27,11,2189
2017-14855,2017-07-27,11,782
2017-15107,2017-08-02,11,UC
2017-15202,2017-07-31,11,2218
2017-15308,2017-08-04,11,33
2017-15307,2017-08-04,11,2189
2017-15418,2017-08-07,11,189
2017-15735,2017-08-14,11,136
2017-15850,2017-08-16,11,135
2017-15828,2017-08-11,11,33
2017-15920,2017-08-18,11,365
2017-15919,2017-08-18,11,33
2017-15865,2017-08-16,11,365
2017-15997,2017-08-16,1925,159
2017-15980,2017-08-16,11,33
2017-16172,2017-08-21,11,UC
2017-16249,2017-08-22,11,2220
2017-16225,2017-08-22,11,2189
2017-16344,2017-08-24,11,2165
2017-16396,2017-08-23,11,2189
2017-16375,2017-08-25,11,623
2017-16463,2017-08-24,11,2220
2017-16436,2017-08-26,11,2189
2017-16575,2017-08-29,11,1663
2017-16754,2017-08-29,11,86
2017-16733,2017-08-31,11,33
2017-16713,2017-08-30,11,734
2017-17338,2017-09-04,11,2165
2017-17312,2017-09-04,11,1040
2017-17449,2017-09-09,1925,159
2017-17417,2017-09-06,138,217
2017-17382,2017-09-06,11,33
2017-17378,2017-09-03,11,2220
2017-17500,2017-09-08,1925,159
2017-17837,2017-09-12,11,2220
2017-18119,2017-09-18,11,33
2017-18342,2017-09-22,1925,159
2017-18631,2017-09-24,11,33
2017-18724,2017-09-22,11,2220
2017-18723,2017-09-24,11,UC
2017-18911,2017-09-27,11,2220
2017-18852,2017-09-28,11,2165
2017-19215,2017-10-03,11,2090
2017-19194,2017-10-03,11,2090
2017-19270,2017-10-05,11,367
2017-19251,2017-10-05,11,365
2017-19243,2017-10-05,11,189
